fund_id,scheme_name,start_date,end_date,observations,annualized_volatility,maximum_drawdown,worst_daily_return,downside_day_frequency
F001,BHARAT Bond ETF - April 2030,2024-01-01,2026-05-13,571,0.014349192340715928,-0.010629640818603847,-0.0037675376403681904,0.30526315789473685
F002,BHARAT Bond FOF - April 2030,2024-01-01,2026-05-12,571,0.030019845230737616,-0.020773507235715916,-0.01018089003921785,0.4052631578947368
F003,BHARAT Bond ETF - April 2031,2024-01-01,2026-05-13,571,0.015673858884440613,-0.011509307775439681,-0.0033321758575574068,0.2631578947368421
F004,ICICI Prudential Nifty G-Sec Dec 2030 Index Fund,2024-01-01,2026-05-13,570,0.019327813922119855,-0.018528933408320514,-0.004522062182161446,0.3374340949033392
F005,HDFC Nifty G-Sec Jun 2027 Index Fund,2024-01-01,2026-05-13,570,0.008100472184456302,-0.0022875227522425323,-0.0017465187632759172,0.2460456942003515
F006,HDFC Nifty SDL Plus G-Sec Jun 2027 40:60 Index Fund,2024-01-01,2026-05-13,570,0.006966354512187839,-0.0016788333361174024,-0.0015208846784612318,0.20035149384885764
F007,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,2024-01-01,2026-04-30,562,0.0042870864216665375,-0.0006484371748449735,-0.0006484371748449735,0.0659536541889483
F008,Axis CRISIL IBX SDL May 2027 Index Fund,2024-01-01,2026-05-13,577,0.008018521764447674,-0.0016830707898023434,-0.0016830707898023434,0.2152777777777778
