fund_id,scheme_name,search_terms,status,matched_scheme_name,matched_scheme_code,rows,message
F001,BHARAT Bond ETF - April 2030,Edelweiss BHARAT Bond ETF April 2030,matched,Bharat Bond ETF - April 2030,147849,571,
F002,BHARAT Bond FOF - April 2030,Edelweiss BHARAT Bond FOF April 2030 Direct Growth,matched,Bharat Bond FOF - April 2030 - Direct Plan - Growth Option,147857,571,
F003,BHARAT Bond ETF - April 2031,Edelweiss BHARAT Bond ETF April 2031,matched,BHARAT Bond ETF- April 2031,148445,571,
F004,ICICI Prudential Nifty G-Sec Dec 2030 Index Fund,ICICI Prudential Nifty G-Sec Dec 2030 Index Fund Direct Growth,matched,ICICI Prudential Nifty G-Sec Dec 2030 Index Fund - Direct Plan - Growth,150733,570,
F005,HDFC Nifty G-Sec Jun 2027 Index Fund,HDFC Nifty G-Sec Jun 2027 Index Fund Direct Growth,matched,HDFC Nifty G-Sec Jun 2027 Index Fund - Growth Option - Direct Plan,151181,570,
F006,HDFC Nifty SDL Plus G-Sec Jun 2027 40:60 Index Fund,HDFC Nifty SDL Plus G-Sec Jun 2027 40 60 Index Fund Direct Growth,matched,HDFC NIFTY SDL Plus G-Sec Jun 2027 40:60 Index Fund - Growth Option - Direct Plan,151570,570,
F007,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,matched,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,148798,562,
F008,Axis CRISIL IBX SDL May 2027 Index Fund,Axis CRISIL IBX SDL May 2027 Direct Growth,matched,Axis CRISIL IBX SDL May 2027 Index Fund - Direct Plan - Growth,149873,577,
