fund_id,scheme_name,matched_tenor_years,observations,alpha,beta,realized_duration_minus_beta,r_squared,disclosed_modified_duration,duration_gap_realized_minus_disclosed,status,notes
F001,BHARAT Bond ETF - April 2030,5.0,552,0.0002901380133546583,-1.4762478757176098,1.4762478757176098,0.3005483847365722,3.1,-1.6237521242823902,ok,Proxy regression using matched tenor yield changes. Interpret cautiously if yield proxy differs from portfolio exposures.
F002,BHARAT Bond FOF - April 2030,5.0,551,0.0002912095246037649,-0.6709072030828714,0.6709072030828714,0.013968121262946886,3.1,-2.4290927969171285,ok,Proxy regression using matched tenor yield changes. Interpret cautiously if yield proxy differs from portfolio exposures.
F003,BHARAT Bond ETF - April 2031,5.0,552,0.0002910852562759053,-1.5082918913793866,1.5082918913793866,0.26104862569371523,4.58,-3.0717081086206135,ok,Proxy regression using matched tenor yield changes. Interpret cautiously if yield proxy differs from portfolio exposures.
F004,ICICI Prudential Nifty G-Sec Dec 2030 Index Fund,5.0,552,0.0002897283178327747,-2.8031195901716583,2.8031195901716583,0.5944858886860634,3.65,-0.8468804098283416,ok,Proxy regression using matched tenor yield changes. Interpret cautiously if yield proxy differs from portfolio exposures.
F005,HDFC Nifty G-Sec Jun 2027 Index Fund,1.0,562,0.0002937509648954385,-0.21594885322248603,0.21594885322248603,0.042938434881985676,1.08,-0.864051146777514,ok,Proxy regression using matched tenor yield changes. Interpret cautiously if yield proxy differs from portfolio exposures.
F006,HDFC Nifty SDL Plus G-Sec Jun 2027 40:60 Index Fund,1.0,562,0.0002983599214964422,-0.2131927072044977,0.2131927072044977,0.057121084661942434,1.09,-0.8768072927955024,ok,Proxy regression using matched tenor yield changes. Interpret cautiously if yield proxy differs from portfolio exposures.
F007,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,0.25,0,,,,,0.02,,insufficient_data,Proxy regression using matched tenor yield changes. Interpret cautiously if yield proxy differs from portfolio exposures.
F008,Axis CRISIL IBX SDL May 2027 Index Fund,1.0,562,0.00030455845786910485,-0.22269061210963237,0.22269061210963237,0.046583315317663465,1.13,-0.9073093878903675,ok,Proxy regression using matched tenor yield changes. Interpret cautiously if yield proxy differs from portfolio exposures.
